Organization,PS_No,submissions,Problem_Statement_Title,Description,Category,Domain Bucket,Youtube Link,Dataset Link
Cognizant Technology Solutions India Pvt. Ltd,MS450,13,Food processing,"1) Onion Prices has skyrocketed in recent weeks

2) Every year, we see a trend in increase agricultural products price particularly vegetables due to failure of monsoon or late arrival of monsoon and decline in sown area of that year.

3) Lack of Unified Prediction and forecasting system integrating data such as Metrological data of forecast, yield/production data across states, Inventory and Public distribution, whole sale and Retail agricultural commodity process etc. 

Technology to address this Issue 

Predictive Analytics based on AI and ML through deep learning from the huge volume of data available from various departments as detailed in point 3 above.

Desired Outcome 

Unified Prediction Analysis to various Agricultural departments such as Food and Public distribution under the Ministry of Agriculture, Prime Minister’s PMO etc. so that timely action can be taken. 
In addition, this data can be integrated as Input to our Budget planning to better monetary allocation to Agriculture at federal and state level and take timely action of distribution planning and price control.",Software,Agriculture and Rural Development,,
Ministry of Health and Family Welfare,SS41,13,Digital tracking of children of migrant population to follow-up on their health status and immunization services received/to be given.,"Harnessing the power of digital technologies is essential for achieving the Sustainable Development Goals, including universal health coverage. To reduce the inequities
in health in population with the migration either because of occupation, shelter or some other reasons, migration among cities, states, rural to urban, it is essential to track their health record so that health services can reach up to such people in the form of continuum of care.
lmmunization of children is an important field where we can provide full immunization coverage to such community who are often left behind.",Software,Healthcare & Biomedical Devices,,
Gov of Uttarakhand,MK101,13,Drudgery reduction of women in rural areas,"Rural women play a significant role inside the houses as well as on farms along with animal husbandry work. This triple burden has made the life of rural women especially in hilly areas miserable & full of drudgery. The main activities which significantly increase their drudgery level in hilly rural areas are - Farm: Farm activities including harvesting, Weeding & hoeing, etc. Home: Cooking & collection of fuel and fodder. Animal husbandry and allied activities. We require some technological interventions in order to reduce drudgery of women.",Hardware,Agriculture and Rural Development,,
Govt of Goa,DR137,13,Device to measure Steroid content in Milk/Meat Products,"""In order to increase the productivity of milk and meat products, the animals/birds are inoculated with steroid which boost the production of milk and development of meat. The same steroid enter the food chain and unknowingly are consumed by humans. It is understood that the effects of steroid on animals is also observed in humans. The steroids when consumed by humans can cause severe damage to the body. The problem statement is to develop a device that would help check the amount of steroids in milk and meat products.
Design a tool to insert the steroid and measure the amount of steroid added. This should inform the right amount of steroid that can be added depending on the weight of the animal/quantity of milk to ensure that wrong amount is not added.""",Hardware,Healthcare & Biomedical Devices,,
Dr. B R Ambedkar Institute of Technology,DS163,13,Android App for Geo-tagging location of wildlife and forest offence and sighting of wildlife in the forest areas,Andaman & Nicobar Islands have a fragile ecosystem with a vivid flora and fauna. Protecting the wildlife is critical to its environment. Increase in wildlife offence like killing of protected animals has increased in the recent past. This app will enable to curb such offence.,Software,Sustainable Environment,,
Ministry of Communications,PJ239,13,To develop an app and SMS based application which can register the grey market complaint,To develop an app and SMS based application which can register the grey market complaint,Software,Software - Mobile App development,,
"National Jute Board, Min of Textiles",AR245,13,Software to track the goods through its delivery path and ensure safe delivery,"Can some cost-effective digital solution (on the lines of RFID) be provided after packaging the bales to track the goods through its delivery path and ensure safe delivery at the consignee’s end? This will help to ensure that no goods are lost in transit. In case of good lost, the same can be traced back and delivered to consignee.",Software,Software - Web App development,,
Indian Space Research Organisation (ISRO),NM381,13,App for identification of sky regions in a photo,"Generating local sky horizon has important applications for analysis of solar energy potential in an urban setting.

Develop a mobile application for automatically detecting sky pixels in a photograph. The application should generate a mask image consisting of sky pixels marked in white colour in the image and other pixels marked in black colour.

Further, using information about camera optics, the application should give angle of elevation of the lowest sky pixel for all pixel columns in the mask image. 
Data Set link:https://vedas.sac.gov.in/vcms/en/sih2020.html",Software,Software - Mobile App development,,
AICTE-MIC,IC469,13,Student Innovation,Sports & Fitness,Software,Sports and Fitness,,
Airports Authority of india,AK9,14,Developing a Software Tool to aid Search and Rescue by Calculating and Plotting Search Area from the Last Known Position of a Missing Aircraft.,"Search and Rescue (SAR) is an operation to find and rescue the people in distress. SAR operations aim at finding missing objects with minimum time in a determined area. There are fundamentally two problems in these operations. The first problem is assessing highly reliable probability distribution maps, and the second is determining the search pattern that sweeps the area from the air as fast as possible. SAR operations benefit greatly from the GIS technology. The area, determined by the search planner, that is to be searched is called Search Area. This area may be sub-divided into search sub-areas for the purpose of assigning specific responsibilities to the available search facilities. The International Aeronautical and Maritime Search and Rescue Manual (IAMSAR) Vol. II (ICAO DOC 9731) provides all necessary information and guidance. Projecs intends to achive: • Determining the size of the search area from the Last Known Position (LKP), including speed, heading and attitude, of aircraft.
• Determining the desired area coverage  
• Selecting appropriate search patterns.",Software,Software - Web App development,,
Bureau of Police Research & Development,RK54,14,Identify Solution with respect to Inter State & Inter Country Criminals e.g. Using Identity Inputs,"Identifying Solution with respect to Inter State & Inter Country/Continent Criminals e.g. Using Identity Inputs i. e. name, email, Photo, address, present/permanent address, mobile number, ID cards etc. Also to design tool to generate some alert in facilitating effective policing.",Software,Security & Surveillance,,
Ministry of Housing and Urban Affairs,BC75,14,"If there is an issue of sanitation and hygiene in our cities, most of it is contributed by its citizens. Which innovative mechanisms can be introduced to make the people more aware about maintaining a better hygiene? What participatory methods should be added to engage the people in this process of sanitation?","If there is an issue of sanitation and hygiene in our cities, most of it is contributed by its citizens. What innovative mechanisms can be introduced to make the people more aware about  maintaining a better hygiene? What participatory methods should be added to engage the people in this process of sanitation? Design a gamified system that issues such products to individuals that can educate people about ways to maintain hygiene, design a strategy to measure and reward the good work done by people.",Hardware,Healthcare & Biomedical Devices,,
Govt of Puducherry,DK181,14,Domain specific Learner facilitator Assist Software Given a learning resource the application should assist the learner in preparing for exams. For the facilitator the teaching material should be prepared automatically. The learning resource could be electronic materials on a particular subject.,"Challenge 1
 Generation of precise answers for the questions posed by the learner.
       - Given a learning resource ( a corpus of documents) the application should generate answers at various levels of granularity (details) for the questions posed by the learner. The challenge is the documents are unstructured and generating precise answers for the questions posed would be a challenge.
     -The types of questions to be handled could be objective or subjective. Based on the marks the answers retrieved should be shorter or lengthier.
    -  Adding cues of important portion of the learning resource(highlighting of important points)
  Challenge 2 
Automatic generation of PPT and handouts for the facilitator to assist in dissemination of content to the learners. 
- For generating the PPT automatically the important sentences/parts of the learning should be identified to the satisfaction of the facilitator.

Motivation: 
-To improve the learning capabilities of slow learners and less motivated lazy students/wards
-To save time in preparing for the exams
-To save class/course delivery time of the facilitator
- would help the parents involved in training their wards though they are not knowledgeable in a subject.",Software,Smart Education,,
Govt. of Madhya Pradesh,MS341,14,Solo IOT devices to capture video and audio evidences,"Project intends to develop various IOTs devices to camouflage CCTV system. It may look like display board for publicity. It will have various IR lights to illuminate and capture in nights. It should have following features:
- Display System (for advertisement or name board)
- Wi-fi/ internet connectivity 
- Multiple systems may be connected through blue tooth
- Remote Joystick to fine tuning and focusing on target persons or things)",Hardware,Security & Surveillance,,
Education department Gujarat,AD358,14,Road maintenance record-keeping system,"The maintenance of rural and urban roads is becoming an increasing challenge as a result of the rapid growth of the network. A large amount of money is going to waste due to irregularity and improper approach. Sound asset management principles need to be introduced as an integral part of road policies and maintenance program. Comprehensive maintenance planning with schedule,institutional reforms, linkage with initial construction, maintenance backlog, utilization of fund, regular on site inspections, training to the workforce, human attitude, existing practices and knowledge of different road patterns are the major challenges in record-keeping. The maintenance and record keeping of maintenance is the key issues in the government department after the liability period over of new construction. A comprehensive system will help for planning of maintenance schedule, frame work, methodology. Also a prediction can be made for the timely maintenance fund requirements. Effective techniques can be decided for the problems. Quality of initial construction work can be achieved. It is more important to say that wastage of public fund can be reduced from the repetitive approach. Mostly, Public infrastructure is developed by the government department. It is obvious that various government bodies like municipalities, nagarpalika, panchayat and road and building department of state and central government etc. will be the potential users. Also private residential and commercial communities may use it for the maintenance records and fund estimation. A comprehensive maintenance record-keeping system will be the ready tool, which serve different aspects of complete qualitative maintenance such as, data base of complete any type of inspection on-site, recording defects including capture of images and location data to aid in repair, repair methodology applied, cost of maintenance, effective area of work, frequency of maintenance including during liability period of new constructions and fund planning for the future. It will be fruitful for the executors for social and economic development of users. Effective maintenance record keeping system will create social and economic impacts of rural roads users. It will serves ready record for long term budget planning as huge investment incurred in road infrastructure development. Some qualitative outputs such as, maintained roads provide access to where people live and important facilities such as markets, schools and health services. Good access provides the opportunity for improving livelihoods and increased employment opportunities, thereby contributing to the alleviation of poverty. Although it may be argued that the link between rural roads and poverty alleviation is mostly indirect, experience clearly shows that areas with poor road access are generally more disadvantaged than areas that are better served. The web application will contain an effective dashboard (visualization like a BI tool) which will provide different kinds of analysis , in order to take quick actions and to avoid spending excessive time in analysing this information. The application will be an effective tool as it will help save time and provide valuable information at a go to thus avoid wastage of public resource.",Software,Software - Web App development,,
Autodesk,BN148,15,Design & Manufacturing of Connecting Rod,"Computer Aided Manufacturing (CAM) is the use of software and computer-controlled machinery to automate a manufacturing process. Based on that definition, you need three components for a CAM system to function: 
Software that tells a machine how to make a product by generating toolpaths.
Machinery that can turn raw material into a finished product.
Post Processing that converts toolpaths into a language machines can understand.

From high-efficiency roughing with Adaptive Clearing to simplified control of multi-axis machines with Tool Orientation, Autodesk Fusion 360 makes it easy to program your CNC machine, fast. Manufacture with 2.5, 3, 4, and 5-axis milling, probing, turning, mill-turning, and profiling operations paired with a powerful post engine all included alongside professional design tools. Students are supposed to use Fusion 360 Software to generate NC code with machine details & tool library. Mentor will help to manufacture the 
 metal component using CNC machine & NC code generated by participants.",Hardware,Miscellaneous,https://www.youtube.com/watch?v=zqJgzPIDuAU,https://www.youtube.com/watch?v=zqJgzPIDuAU
Amazon Web Services,AN314,15,Antimicrobial Stewardship Platform,"Due to the pollution on the rise, food habits and hectic schedules we are getting more and more prone to health-related issues for which many a times we use antibiotics drugs. Antibiotic resistance on the rise—and predicted to kill 10 million people per year by 2050. Do think of this problem in India context, lack of knowledge, how antibiotics are prescribed, how to gather the usage of antibiotics across the country and how to mitigate the challenge. Idea would be to see what all are the most common antibiotics / salt in those drugs are being used, for what all diseases they are being prescribed for and predict what are the probable antibiotic drugs ( salts ) which would become non-effective after a certain time for curing a specific microbial infection or disease. Requirement is to build an antimicrobial stewardship platform which should be able to provide this solution.",Software,Healthcare & Biomedical Devices,,
Airports Authority of india,AK13,15,A visual Dashboard based on data analytics for percentage utilization of Airport facilities and utilities using IOT.,"A web application is required that is capable of projecting analysed data through visual tools like bar graphs, pie charts, etc. on a web dashboard. Airport facilities include Arrival baggage belts, boarding gates, Parking Stands, Trolleys, etc. The application must have a separate API to have a visual representation of the analysed data which can be integrated with any other web/desktop application. Project intents to achieve the following objectives: • Classification of data based on nature of facility used by a passenger and available facility utilization. • Data visualization at Airport and Pan India Level. • A centralized Dashboard containing visual data representation of the % utilization of Airport services used by passengers.",Software,Software - Web App development,,
Airports Authority of india,AK14,15,An Mobile based Dwell time Management System using IOT.,"Whenever a passenger enters into an airport, their credentials are checked at check in Kiosks, Entry Gates, SHA, Immigration & customs and boarding gates to validate their journey. Usually a passenger is instructed to come two hrs before for a domestic travel and four hours before an international travel.
 This instruction is given to passengers as their validation process might take more time than usual due to long passenger queues at each check point. The time taken by passenger to stand in a queue at a particular touch point and gets its credentials validated is called dwell time of that touch point.
Hence, a mobile application based dwell time data collection and analysis at touch points of airports including check-in counters/Entry Gates/SHA/Immigration and customs/boarding gates using IOT. The Automated system needs to prompt necessary alert messages as per escalation matrix for dynamic allocation of manpower and facilities for a particular check point.

What we want: 
• Monitoring Effective Utilization of Airport touch points
• Central data base record for each dwell time data collection.
• An external API integration facility to connect with existing Airport Software’s.",Software,Software - Mobile App development,,
"Ministry of Micro, Small & Medium Enterprises",SG66,15,Developing Virtual Reality based solutions,"Developing Virtual Reality based solutions in areas like:
(i) Creating a virtual showcase/display centre of industrial
products – developing solutions for one type of industry like
garments, shoe industry etc.
(ii) VR solution for emergency rehearsals like fire, flood etc.
Provide safety training using Virtual Reality.

(iii) Education tools for educating industries in utilization of
power by developing virtual reality, augmented reality based
solutions.
(iv) Developing VR based solution for construction company
to show the project plan and interior and exterior look.
(v) Virtual reality solution for healthcare sector especially
for training the new medical practitioner and Para Medical Staff.",Hardware,Miscellaneous,,
Gov of Uttarakhand,MK100,15,Lack of technological intervention in value addition of agriculture products produced by SHGs /FPGs,"""Uttarakhand is primarily an agricultural state. The contribution of agriculture to the states domestic product is about 22.4 percent and the population dependent on agriculture for their livelihood is about 75 -85 percent. For instance, As per Uttarakhand state planning Commission, 2007, the productivity of wheat in the hills is 13.2 quintals/hectare and rice is 12.36 quintals/hectare. Thus, agricultural opportunities are developing rapidly in the state. Especially, in sector of organic agriculture, Uttarakhand Is highly accessible because of largely rain-fed agriculture and very low use of chemical fertilizers and pesticides, the produce grown by farmer in the area are not only rich in nutrients but also have high medicinal value and provides an opportunity to develop and farmer friendly environment of organic farming that provide better value in the market to Small and Marginal Land holder. The various project of Department of rural development and agriculture are continuously in the process of enhancing farmer and self-help groups (SHGs) livelihoods by adding value in their produce and providing favourable markets.
Provide technology based interventions like Techniques of Value addition to agriculture produce, Packaging, Logistic movement, Farmer Branding and marketing avenues. This platform should enable direct movement of farmer to the consumer and reduce the intermediates who take away a lion's share of commission.""",Software,Agriculture and Rural Development,,
Dr. B R Ambedkar Institute of Technology,DS157,15,"Software for computerization of farmer, land details along with beneficiary schemes details","Software for computerization of farmer, land details along with beneficiary schemes details
All the records at present are maintained manually by the department which leads to difficulty in access and retrieval of records. Design a block chain based mechanism to ensure frauds are eliminated in land records thereby assisting in maintaining the documents.",Software,Agriculture and Rural Development,https://www.youtube.com/watch?v=-Tg_pE6yCJs&featur,https://www.youtube.com/watch?v=-Tg_pE6yCJs&featur
Ministry of Power,PK367,15,Integrated Automatic Flood Warning and alert system using IOT,Design a IoT based system that is able to sense the pressure on walls of dams. Additionally design a backend system to predict the areas that need to be vacated if dams are open. Ensure that this system warns the respective users directly based on the dashboard output.,Software,Security & Surveillance,,
Department of Science and Technology,PR427,15,Use of Technology to Test Adulteration of Edible Produce,Food is essential for nourishment and sustenance of life. Adulteration of food cheats the consumer and can pose a serious risk to health. Food is adulterated if its quality is lowered or affected by the addition of substances which are injurious to health or by the removal of substances that are nutritious. The challenge is looking for technological solutions to give the consumer an opportunity to detect common adulterants in consumer food,Hardware,Food Technology,,
Ministry of Housing and Urban Affairs,BC76,16,"Every part of our country is very rich in its heritage and culture. However, awareness about the same can be increased among the local residents. What needs to be done increase the ownership amongst the citizens towards the heritage (both tangible and intangible)?","Every part of our country is very rich in its heritage and culture. However, awareness about the same can be increased among the local residents. Tangible heritage refers to physical artefacts, transmitted intergenerationally in a society and intangible heritage are skills, knowledge, practices, etc. We are looking for software-mobile app for increasing awareness among local residents as well as at national level, leading to an increase in ownership among locals and stimulus to tourism.",Software,Software - Mobile App development,,
Gov of Uttarakhand,MK95,16,National Web Portal is used for designing Job oriented courses with the help of Human Resource data and desirable skill sets from industries.,National Web Portal is used for designing Job oriented courses with the help of Human Resource data and desirable skill sets from industries. Design a system to read the job description from the pdf and word document provided by government officials. Provide facility to review and edit the generated job description and publish on the portal. This portal should also provide facility to apply for job and further management of interview and selection process.,Software,Software - Web App development,,
"National Mission for Clean Ganga, DoWR, RD & GR, Ministry of Jal Shakti",PG179,16,Know your Ghats mobile app facilitating general public use information on Ghats/crematoria existing along Ganga and its tributaries.,"Ghats are the series of steps leading down to a body of water or wharf. Ghats are associated with legends or mythologies.  Ghats & crematoria are considered one of the auspicious locations for this ritual. In hindu traditions, cremation is one of the rites of passage. A riverfront is a region along a river; often in larger cities that border a river, the riverfront will be lined with marinas, docks, parks, trees, or minor attractions. Today many riverfronts are a staple of modernism and city beautification. A citizen centric mobile app can be develop to provide information & awareness about ghats, crematoria & riverfront along Ganga river and its tributaries.",Software,Software - Mobile App development,,
NATIONAL CRIME RECORDS BUREAU,SK216,16,Data Crawlers to collect data,"Data Crawlers to collect data on given Keywords from the web in areas of child and woman abuse, cyber bullying, pornography, etc.",Software,Security & Surveillance,,
Ministry of Railways,BB228,16,AI Based Reservation System,"Getting quicker and earliest booking in Indian Railways system is sometimes a challenge for passengers. The challenge is to devise an optimization using latest technologies which improves probability of getting ticket, improve booking time and customer experience remarkably. Expectation from solution are (1) Once passenger enters origine and destination, probable options and alternatives should be provided to him, within predefined/limited time frame. This should help passenger in getting confirm seat. (2) Additional functionality could be added to help passenger getting confirmed seats, improve booking time. (3) Data available in public domain/internet can be used by students to approach problem.",Software,Travel and Tourism,,
Ministry of Communications,PJ240,16,Development of platform for dialing single emergency no SDC (Short digit code),"Development of platform for dialling single emergency no SDC (Short digit code) or just pressing a button in mobile phone using any of the available mobile network,
which will send the live location of the customer to a predetermined server which is to be integrated with the server meant for action program of Disaster management team.",Software,Software - Mobile App development,,
VMware Software India Pvt.Ltd.,SS443,17,Electric Vehicle (EV) Ecosystem,"Electric Vehicle (EV) will be the vehicle of choice soon. However, EV demand on the grid is unknown and EV users have range anxiety. To address these challenges, can we build an EV eco system and connect all players of the eco system? Can we create predictive models for EV demand? How do we provide inter-operability of data and end user applications? For more details please refer to attachment.",Software,Software - Web App development,,https://www.sih.gov.in/uploads/psData/SIH2020ShaliniV520191223152225.pdf
Ministry of Housing and Urban Affairs,BC78,17,"Disasters act as a shock to density. Considering the Cities of tomorrow, what should be done?","Various kinds of disasters such as earthquake, wildfire, flood, heatwave, Tsunami, fire, hazardous material spills, disease outbreaks, etc. cause life as well economic losses. We are looking for a software solution which would be useful in disaster management. Objectives for the solution are: (1) Facility for real time tracking of disaster (2) Facility for updating disaster related information and sending precautionary messages by authorities. Additional features for solution are welcome.",Software,Smart Cities,,
"Central Ground Water Board, Ministry of Jal Shakti",DM84,17,Data analytics to provide complete solution for groundwater management for the country,"Groundwater is the major source of freshwater for drinking, irrigation and industrial purposes and has always been a hidden treasure because of its dynamic nature. The health of the groundwater system is reflected in the groundwater levels of the region. There is a need to develop a robust application to understand the groundwater scenario and its resources of the regions. Representative groundwater level data needs to be analysed using statistical and arithmetical solutions along with the groundwater resources of the country to identify the blocks/district/state which has been critical compared to previous decade.",Software,Miscellaneous,https://youtu.be/gmACRfzMjkY,https://youtu.be/gmACRfzMjkY
Ministry of Women and Child Development,AS120,17,Effective use of Cyber Space and Cyber Technology to prevent violence against and trafficking of women and children,Effective use of Cyber Space and Cyber Technology to prevent violence against and trafficking of women and children,Software,Miscellaneous,,
Ministry of Women and Child Development,AS123,17,Innovative apps for women safety specially in cyber space,Innovative apps for women safety specially in cyber space. Design innovative methods to prevent blackmailing and frauds against women specific cases. Enable to detect if a woman's profile is being used somewhere without her consent.,Software,Software - Mobile App development,,
Ministry of Communications,PJ234,17,Detecting Poor Telecom Connectivity (Cellular) regions using user device signal strength,"Detecting Poor Telecom Connectivity (Cellular) regions
using user device signal strength.
An APP based solution may be developed for Detecting
Poor Telecom Connectivity (Cellular) regions using user
devise signal strength along with geo coordinates of the
user to a central server. Government authorities can use
that information to assess the poor coverage regions and
take necessary steps to address the issue of poor coverage",Software,Software - Mobile App development,,
Bureau of Police Research & Development,RK309,17,Real-Time image processing and forensic verification of Fake Videos,"•	Cyber Criminals are using Image processing tools and techniques for producing the variety of crimes, including Image Modification, Fabrication using Cheap & Deep Fake Videos/Image.
•	 Desired Solution: The solution should focus on help the Image/Video verifier/examiner find out and differentiate a fabricated Image/Video with an original one. Technology that can help address the issue: AI/ML techniques can be used.",Software,Miscellaneous,,
Govt. of Madhya Pradesh,MS339,17,"Web, portal and Apps for facilitating reporting of offences for registration of FIR with provision OCR based signature along with Aadhar based digital signature","Designing a web portal and Apps to capture all the details with respect to identity of complainant, details of the incidence or crime committed will extract supplementary information to capture ingredient of the crimes committed, identity of criminals and likely witnesses the same would be converted in text format as an FIR which would be signed by the complaint/ victim through OCR device and verified through digital signature (using OTP based verification of Aadhar). The signed FIR would be routed to CCTNS system using Citizen Portal Bridge already available. Allowing OCR and Digital Signature of SHO to convert it in formal/ legally acceptable FIR.",Software,Software - Mobile App development,,
AICTE-MIC,IC466,17,Student Innovation,Travel,Software,Travel and Tourism,,
NALCO,PN313,18,TRACKING and Control of Hot METAL TRANSPORTATION TRUCKS,"NALCO Smelter Plant has 04 Pot lines with 08 Pot Rooms and each Pot Room having 120 Pots. There are 2 Cast Houses and 1 Rolling Plant as well. Hot metal is tapped through Tapping Ladles from 960 pots and then transferred into transport ladles on the metal transporting trucks (MTT) for delivery to the desired Cast House Location as per the requisition made by the individual Cast Houses and Rolling Plant. 

 N.B:        	
•	Maximum 16 nos. of trucks can be deployed in the Pot Rooms.
•	The liquid metal is tapped at around 960°C.
•	The Cast House desired temperature range for metal casting 720°C-760°C.
•	If the metal arrives at little above the casting temperature value then it is ready for casting and no fuel is required to be burnt in the metal holding casting furnaces.

 
Operation:

A.	Cast House–A (Operation) prepares Metal Planning Schedule for 04 shifts on daily basis and forwards Hard/Soft Copy to Pot Line (Operation).

B.	After receipt of the metal planning schedule the Pot Line (Operation) shift-in-charge prepares tapping schedule for his shift.
  
C.	From the tapping schedule ladle schedule is derived along with the metal dispatch against requirement by Cast House (Operation).

D.	Accordingly MTT deployment by the Pot Line (Operation) transport section is arranged for each Pot Line Room Location to the respective Cast House in a Merry-go-Round fashion during the shift hours. 

E.	Normally Cast House-B and Rolling Plant forward their shift wise ladle requirement, in terms of no. of ladles required by them in a shift, initially to the Transport Section of Pot Line (Operation).

F.	Balance left out hot metal available is dispatched to Cast House-A along with any adjustment required for handling of no. of ladles available with Pot Line (Operation) arising out of additional requirement raised or surplus metal available from Cast House-B and Rolling Plant Shops due to operational issues.

G.	Shift wise hot metal reconciliation between Pot Line (Operation) and Cast House is carried out on daily basis to tally the records with the quantity of the metal dispatched and received by the Cast House during the day against the metal planning made.

 
Problems:
The entire operation is manual as of now. There is no single window available for operation and coordination job. The transit time required between demand and supply involves various factors such as trip length, information on availability of vehicle, tracking of vehicle location. As a result, trucks may arrive later than the demanded time resulting in drop of loaded ladle metal temperature. All this leads to wastage of heat energy, longer wait time and longer metal truck haulage at times.

Moreover, Data portability, processing and reporting, all are manual. Hence a need for IOT based vehicle mounted pilot project which will save energy, time, etc. and help us greatly in avoiding chaos situations.

Improvements Desired:
To devise an IOT based vehicle mounted pilot project which shall ensure real time data connectivity on: 

Vehicle location tracking through LPS. (UWB  / RTLS / Indoor-Locating / LPS)
Information on availability of vehicle.
Live metal temperature data from ladle.
Vehicle call request with location.
Driver acknowledgement for call request.
Vehicle identification through code broadcast.

The proposed project will enable to achieve the following:

Reduced Metal Transporting Trucks turnaround time leading to lower haulage losses.
Reduced occurrences of ladle hot metal temperature drop due to smaller and faster haulage time.
More efficient control of vehicle logistics reducing chaos due to vehicle unavailability/in traceability.
Reduction of possibility of metal outage at either of Cast Houses, Rolling Plant.
Reduction in consumption of fuel oil required for reheating of liquid metal.",Hardware,Smart Vehicles,,
MathWorks,AG343,18,"Renewable Energy forecasting, for an integrated smart grid","BACKGROUND:
Advances in technology have enabled large-scale harnessing of sources of renewable energy (solar, wind etc.).  Smart grids which integrate both conventional energy sources and renewable sources are envisioned to be a sustainable power generation solution. However, all sources of renewable energy are affected by environmental factors (such as wind speed, intensity of solar radiation, cloud cover) which causes fluctuations in power generated from these sources. Also, the availability are subjected to daily/annual cycles (eg. Solar energy available during daytime only). While smart metering enables real-time demand forecasting; accurate models that forecast power generated by renewable energy sources are also needed.  Accurate forecasting models will ensure grid stability, smooth scheduling and energy management.  For instance, if the model forecasts renewable energy outage for a certain duration of time, the smart grid must seamlessly switch to the conventional energy source for that duration and ensure that the generated power meets the demand forecast.  Literature proposes various learning-based forecasting models for renewable energy sources based on open data sources; as well as scheduling strategies for demand-supply matching. Further, simulation software to realistically model microgrids are also available. The problem defined here is to come up with a framework which: realistically simulates a microgrid; forecasts demand and supply of (renewable) energy; seamlessly schedules supply of renewable (and conventional energy) to meet the demand; and provides actionable insights about the functioning of the smart grid system.

PROBLEM STATEMENT:
1.	Simulate the microgrid/utility system with various consumers and prosumers.
2.	For the renewable energy sources, using environment time series data from open data forums-develop energy generation forecasting models. 
3.	For the consumers/prosumers using energy consumption time series data from open data forums-develop energy demand forecasting models. 
4.	Develop scheduling algorithms for the utility/microgrid controller.
5.	Integrate the forecasting model and scheduler with the simulation setup in 1.
6.	Prototype the following use case with developed models: 
An Integrated Smart Grid utility manager would want to remotely monitor the operations of the deployed system in real-time. The manager will require a dashboard that provides a micro- and macroscopic spatio-temporal trend of: (a) consumer demand maps; (b) prosumer supply; (c) solar/wind energy generated; (d) conventional energy generated; (e) outages; (f) accuracies of forecasting models for energy demand and energy generated (conventional and renewable); (g) scheduling decision report.

OUTCOME EXPECTED:
1.	A microgrid simulation model (with scheduling strategy integrated at controller).
2.	Forecasting models to predict demand, renewable energy generated. (possibly Statistical/Machine Learning models).
3.	Scheduling strategy/algorithm to manage resources to meet demands. (optimization algorithm based on forecasting model of demand and generation).
4.	A web-application of the dashboard with appropriate visualizations and reports.
	
REFERENCE:
•	http://www.aungz.com/PDF/88170082.pdf
•	https://www.mathworks.com/videos/microgrid-system-development-and-analysis-part-3-using-simscape-power-systems-to-simulate-microgrids-1522853406434.html
•https://www.researchgate.net/publication/326827833_Strategic_Scheduling_in_Smart_Grids

Simulations developed in STEP 1 can be used to generate synthetic data based on models available in literature. In addition to that, below are some links which provides available data and can be used for modeling:
•	Time series data (European---possibly to generate synthetic data):
o	https://data.open-power-system-data.org/time_series/
o	https://data.open-power-system-data.org/weather_data/
o	https://data.open-power-system-data.org/time_series/2019-06-05

•	India Solar data generation
o	https://openei.org/datasets/dataset/india-direct-normal-global-horizontal-irradiance-solar-resourc13
o	https://data.nrel.gov/submissions/43

MATHWORKS PRODUCTS: FREE SOFTWARE WILL BE PROVIDED
•	Curve Fitting, Statistics and Machine Learning toolbox, Deep Learning toolbox (optional) -for forecasting models.
•	Optimization toolbox (optional): Scheduling algorithm
•	Simscape, Simscape Electrical, Simulink: to model microgrid/utility
•	Any Web application: for dashboard
•	Signal Processing Toolbox (reviewed)
•	Control toolbox
•	System Identification
•	MATLAB and Simulink
•	Stateflow
•	App Designer
•	ThingSpeak
•	Simulink Design Optimization
STUDENT TEAMS WILL BE PROVIDED WITH FREE SOFTWARE OF MATLAB, Simulink and Toolboxes",Software,Energy / Renewable Energy,,https://www.sih.gov.in/uploads/psData/RenewableEnergyforecastingschedulingandmonitoringframeworkforanintegratedSmartgrid-SIH202020191216115440.pdf
Gov of Uttarakhand,MK105,18,Predicting the trends of quality-oriented jobs,"The objective is to develop a software solution to predict the future jobs based on location, sectors, package and eligibility. Big data analysis can be useful to collect and analyse data from different job sites and predict the future requirements applying machine learning /deep learning techniques.",Software,Smart Education,,
Govt of Goa,DR113,18,Stray Cattle Challenge,"Checking the menace of stray cattle in State of Goa by involving Municipalities, Panchayats, Animal Husbandry, NGO and Civic Forum. Stray Cattle not only bad to traffic congestion but also causes health hazard to the cattle. 

ISSUES

(a) Fundamentally there is disconnection between civil agencies, people and elected representatives.
(b) The aim is to build mobile based dynamic reporting system  which will facilitate into flow of information among all   concerned stakeholders.

(c) The aim  is to provide better Governance by more involvement of public.",Software,Software - Mobile App development,,
